Running iCentral_p:
Processes=64
recalculation size: 19082
prep finish: 1.5213136239908636
process creation: 0.0034352419897913933
process creation: 0.0032266229391098022
process creation: 0.0018793550552800298
process creation: 0.001790023990906775
process creation: 0.0017769830301404
process creation: 0.0017940320540219545
process creation: 0.0017695169663056731
process creation: 0.0017975189257413149
process creation: 0.002562175039201975
process creation: 0.003129549091681838
process creation: 0.0020737280137836933
process creation: 0.0021219339687377214
process creation: 0.00223839795216918
process creation: 0.0024110160302370787
process creation: 0.002523284056223929
process creation: 0.002713797031901777
process creation: 0.0029021200025454164
process creation: 0.004100673948414624
process creation: 0.0036559159634634852
process creation: 0.0037160019855946302
process creation: 0.004169326042756438
process creation: 0.0038321660831570625
process creation: 0.0038070500595495105
process creation: 0.0038818399189040065
process creation: 0.0038569860626012087
process creation: 0.004110801964998245
process creation: 0.005398262059316039
process creation: 0.004028975032269955
process creation: 0.004015819053165615
process creation: 0.004001316032372415
process creation: 0.004025380942039192
process creation: 0.004867772106081247
process creation: 0.004045007051900029
process creation: 0.0040445090271532536
process creation: 0.004070697003044188
process creation: 0.00444933504331857
process creation: 0.005330746993422508
process creation: 0.004136334988288581
process creation: 0.004196791909635067
process creation: 0.0042473929934203625
process creation: 0.0042983629973605275
process creation: 0.006309857009910047
process creation: 0.004329010960645974
process creation: 0.004308367031626403
process creation: 0.005207344074733555
process creation: 0.012914726976305246
process creation: 0.004663343075662851
process creation: 0.004566026967950165
process creation: 0.004596948041580617
process creation: 0.004693611059337854
process creation: 0.004622615990228951
process creation: 0.006872397032566369
process creation: 0.004780421033501625
process creation: 0.004751430009491742
process creation: 0.006757084978744388
process creation: 0.004930989001877606
process creation: 0.004800647031515837
process creation: 0.004774827044457197
process creation: 0.0052705720299854875
process creation: 0.005648346967063844
process creation: 0.004818595014512539
process creation: 0.004941622028127313
total work (3834264): 72.92527103901375
real work (3834264): 72.18192948307842
total work (3834281): 72.93666186300106
real work (3834281): 72.15443193970714
total work (3834294): 72.9270803789841
real work (3834294): 72.08347622468136
total work (3834213): 73.16925937100314
real work (3834213): 72.29574105434585
total work (3834261): 73.07359902898315
real work (3834261): 72.19167115329765
total work (3834209): 73.22688194108196
real work (3834209): 72.35039223858621
total work (3834251): 73.11431127600372
real work (3834251): 72.26191634696443
total work (3834239): 73.17813373706304
real work (3834239): 72.29247053642757
total work (3834233): 73.20071469899267
real work (3834233): 72.30760754225776
total work (3834231): 73.23389599006623
real work (3834231): 72.29903916921467
total work (3834199): 73.27741590992082
real work (3834199): 72.34644869877957
total work (3834287): 73.10747736901976
real work (3834287): 72.16929739073385
total work (3834201): 73.31870258203708
real work (3834201): 72.32783627707977
total work (3834274): 73.14586153894197
real work (3834274): 72.19659747066908
total work (3834284): 73.1065498359967
real work (3834284): 72.1230278586736
total work (3834219): 73.29848548700102
real work (3834219): 72.29306333640125
total work (3834276): 73.16755338397343
real work (3834276): 72.17911959195044
total work (3834189): 73.35462549701333
real work (3834189): 72.33701107220259
total work (3834243): 73.26832145394292
real work (3834243): 72.2579678791808
total work (3834207): 73.3446153110126
real work (3834207): 72.33041049470194
total work (3834247): 73.28385744499974
real work (3834247): 72.2413788838312
total work (3834255): 73.26744276401587
real work (3834255): 72.24955700989813
total work (3834223): 73.3819425329566
real work (3834223): 72.33043790142983
total work (3834235): 73.32463410601486
real work (3834235): 72.29790300340392
total work (3834211): 73.4063622209942
real work (3834211): 72.35772871528752
total work (3834307): 73.222087053
real work (3834307): 72.10813451884314
total work (3834291): 73.3427209360525
real work (3834291): 72.13664175197482
total work (3834187): 73.59192287595943
real work (3834187): 72.39652020833455
total work (3834303): 73.33973351703025
real work (3834303): 72.18277425691485
total work (3834225): 73.53907614201307
real work (3834225): 72.35012466972694
total work (3834245): 73.49779629299883
real work (3834245): 72.29084506491199
total work (3834185): 73.59643716807477
real work (3834185): 72.40519248845521
total work (3834250): 73.47156807500869
real work (3834250): 72.30379863409325
total work (3834195): 73.65327512403019
real work (3834195): 72.3669453751063
process creation: 0.007302198093384504
total process creation: 0.26585878897458315
bc update real work: 0.3302812618203461
bc update time: 75.31378016201779
defaultdict(<class 'int'>, {3834257: 1, 3834205: 1, 3834183: 1, 3834221: 1, 3834191: 1, 3834266: 1, 3834279: 1, 3834286: 1, 3834197: 1, 3834217: 1, 3834203: 1, 3834296: 1, 3834295: 1, 3834270: 1, 3834229: 1, 3834193: 1, 3834241: 1, 3834237: 1, 3834249: 1, 3834260: 1, 3834273: 1, 3834304: 1, 3834215: 1, 3834265: 1, 3834253: 1, 3834280: 1, 3834227: 1, 3834292: 1, 3834294: 1, 3834264: 1, 3834299: 1, 3834281: 1, 3834213: 1, 3834261: 1, 3834251: 1, 3834209: 1, 3834239: 1, 3834233: 1, 3834199: 1, 3834231: 1, 3834287: 1, 3834284: 1, 3834274: 1, 3834201: 1, 3834219: 1, 3834276: 1, 3834189: 1, 3834243: 1, 3834207: 1, 3834247: 1, 3834255: 1, 3834235: 1, 3834223: 1, 3834211: 1, 3834307: 1, 3834291: 1, 3834187: 1, 3834225: 1, 3834303: 1, 3834245: 1, 3834185: 1, 3834250: 1, 3834195: 1})
Real time Parallel iCentral:
77.11066262703389
------------
Running iCentral_p:
Processes=32
recalculation size: 19082
prep finish: 1.3270064239623025
process creation: 0.006840226938948035
process creation: 0.006311709061264992
process creation: 0.002737308037467301
process creation: 0.0024849899346008897
process creation: 0.0024873639922589064
process creation: 0.002653802977874875
process creation: 0.002727697021327913
process creation: 0.002847766038030386
process creation: 0.002968012006022036
process creation: 0.0030262069776654243
process creation: 0.003178885905072093
process creation: 0.0033403909765183926
process creation: 0.003507075016386807
process creation: 0.0037692829500883818
process creation: 0.004122163052670658
process creation: 0.004321531974710524
process creation: 0.004810911952517927
process creation: 0.0052721049869433045
process creation: 0.00624283601064235
process creation: 0.006825434975326061
process creation: 0.007170737022534013
process creation: 0.007402949966490269
process creation: 0.007502318010665476
process creation: 0.007559261051937938
process creation: 0.007532001007348299
process creation: 0.007582876016385853
process creation: 0.007531925919465721
process creation: 0.007539962069131434
process creation: 0.007623785990290344
process creation: 0.007691820035688579
total work (3834836): 116.43513672507834
real work (3834836): 116.17240063135978
total work (3834814): 116.48866018501576
real work (3834814): 116.22453949344344
total work (3834844): 116.45921386405826
real work (3834844): 116.18747021118179
total work (3834832): 116.48846039897762
real work (3834832): 116.18288971937727
total work (3834870): 116.4253825120395
real work (3834870): 116.05339948600158
total work (3834858): 116.50578060606495
real work (3834858): 116.11517714895308
total work (3834872): 116.4496712309774
real work (3834872): 116.02524356567301
total work (3834854): 116.54453548206948
real work (3834854): 116.123511300073
total work (3834818): 116.6120067529846
real work (3834818): 116.20984922070056
total work (3834848): 116.57076259201858
real work (3834848): 116.15459742269013
total work (3834812): 116.64988678798545
real work (3834812): 116.24290485936217
total work (3834860): 116.53820494702086
real work (3834860): 116.11079800617881
total work (3834840): 116.60490040201694
real work (3834840): 116.20383312832564
total work (3834820): 116.6386780339526
real work (3834820): 116.21389698807616
total work (3834824): 116.67259007401299
real work (3834824): 116.25600874319207
total work (3834868): 116.58996714896057
real work (3834868): 116.15385483379941
total work (3834856): 116.66346564795822
real work (3834856): 116.19213962205686
total work (3834852): 116.67648025392555
real work (3834852): 116.21097848331556
total work (3834866): 116.64520626305602
real work (3834866): 116.17709112190641
total work (3834862): 116.85131380299572
real work (3834862): 116.17270858597476
total work (3834846): 116.90338202693965
real work (3834846): 116.22279850789346
total work (3834822): 116.95496752299368
real work (3834822): 116.29750618350226
total work (3834816): 116.9866628110176
real work (3834816): 116.30878401349764
total work (3834842): 117.0387648360338
real work (3834842): 116.28079884371255
total work (3834838): 117.08457303699106
real work (3834838): 116.27981945371721
total work (3834834): 116.96384561096784
real work (3834834): 116.24133846955374
total work (3834830): 117.1112808190519
real work (3834830): 116.3029805291444
total work (3834826): 117.1401756790001
real work (3834826): 116.35792328463867
total work (3834850): 117.10530790803023
real work (3834850): 116.24595500656869
total work (3834828): 117.15177339897491
real work (3834828): 116.40942212578375
total work (3834864): 117.06159293698147
real work (3834864): 116.18863076297566
process creation: 0.007786340080201626
total process creation: 0.16444558196235448
bc update real work: 0.22353439289145172
bc update time: 118.13675335701555
defaultdict(<class 'int'>, {3834836: 1, 3834814: 1, 3834844: 1, 3834832: 1, 3834870: 1, 3834872: 1, 3834858: 1, 3834818: 1, 3834854: 1, 3834848: 1, 3834812: 1, 3834860: 1, 3834840: 1, 3834820: 1, 3834824: 1, 3834868: 1, 3834852: 1, 3834856: 1, 3834866: 1, 3834846: 1, 3834822: 1, 3834862: 1, 3834816: 1, 3834834: 1, 3834842: 1, 3834838: 1, 3834830: 1, 3834826: 1, 3834828: 1, 3834850: 1, 3834864: 1})
Real time Parallel iCentral:
119.6486643239623
------------
Running iCentral_p:
Processes=16
recalculation size: 19082
prep finish: 1.2239484399324283
process creation: 0.006371799041517079
process creation: 0.006176442955620587
process creation: 0.005241348990239203
process creation: 0.004771731095388532
process creation: 0.004574646009132266
process creation: 0.004513828083872795
process creation: 0.004544088966213167
process creation: 0.0046927849762141705
process creation: 0.00505410204641521
process creation: 0.005588640924543142
process creation: 0.006003092043101788
process creation: 0.006373699055984616
process creation: 0.006588232005015016
process creation: 0.0066844390239566565
total work (3837176): 260.39221497497056
real work (3837176): 259.90404586400837
total work (3837186): 260.3760596140055
real work (3837186): 259.9260969668394
total work (3837172): 260.54799794300925
real work (3837172): 260.0206944346428
total work (3837180): 260.5312206619419
real work (3837180): 260.03100631188136
total work (3837188): 260.43254959303886
real work (3837188): 259.99160216609016
total work (3837170): 260.588112113066
real work (3837170): 260.0353610316524
total work (3837182): 260.63983046403155
real work (3837182): 260.0011038148077
total work (3837164): 260.67498669901397
real work (3837164): 260.0244345058454
total work (3837160): 260.7106854270678
real work (3837160): 259.98382179101463
total work (3837184): 260.65463766804896
real work (3837184): 259.9951580140041
total work (3837162): 260.74970525701065
real work (3837162): 260.0731228693621
total work (3837166): 260.7436834720429
real work (3837166): 260.1196640555281
total work (3837168): 260.7620651440229
real work (3837168): 260.0317807296524
total work (3837174): 260.75309063796885
real work (3837174): 260.0607307374012
total work (3837178): 260.74295894103125
real work (3837178): 260.0957417434547
process creation: 0.0067872259533032775
total process creation: 0.08447537501342595
bc update real work: 0.10741536901332438
bc update time: 261.21880726492964
defaultdict(<class 'int'>, {3837176: 1, 3837186: 1, 3837188: 1, 3837172: 1, 3837180: 1, 3837170: 1, 3837164: 1, 3837182: 1, 3837160: 1, 3837184: 1, 3837162: 1, 3837166: 1, 3837168: 1, 3837174: 1, 3837178: 1})
Real time Parallel iCentral:
262.5460980030475
------------
Running iCentral_p:
Processes=8
recalculation size: 19082
prep finish: 1.1929945989977568
process creation: 0.005387249984778464
process creation: 0.002564123016782105
process creation: 0.0024075430119410157
process creation: 0.0023995540104806423
process creation: 0.00243241002317518
process creation: 0.0024381469702348113
